Country,Date,Confirmed,Deaths,Recovered,NewCases,NewDeaths,NewRecovered,NewCases_rolling7d,NewDeaths_rolling7d,NewRecovered_rolling7d,ActiveCases,CFR,RecoveryRate,daily_growth_rate,Population,CasesPer100k,DeathsPer100k,RiskTier,Continent,Year,Month,MonthName,Quarter,YearMonth,DateKey
Afghanistan,2023-03-09,209451,7896,0,0.0,0.0,0.0,13.285714285714286,0.0,0.0,201555,3.7699,0.0,0.0,,,,Low,Asia,2023,3,March,1,2023-03,20230309
Albania,2023-03-09,334457,3598,0,14.0,0.0,0.0,7.0,0.0,0.0,330859,1.0758,0.0,0.0042,,,,Low,Other,2023,3,March,1,2023-03,20230309
Algeria,2023-03-09,271496,6881,0,2.0,0.0,0.0,4.714285714285714,0.0,0.0,264615,2.5345,0.0,0.0007,,,,Low,Africa,2023,3,March,1,2023-03,20230309
Andorra,2023-03-09,47890,165,0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,47725,0.3445,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Angola,2023-03-09,105288,1933,0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,103355,1.8359,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Antarctica,2023-03-09,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Antigua and Barbuda,2023-03-09,9106,146,0,0.0,0.0,0.0,0.0,0.0,0.0,8960,1.6033,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Argentina,2023-03-09,10044957,130472,0,0.0,0.0,0.0,118.85714285714286,1.2857142857142858,0.0,9914485,1.2989,0.0,0.0,45195777.0,22225.43,288.68,Low,South America,2023,3,March,1,2023-03,20230309
Armenia,2023-03-09,447308,8727,0,0.0,0.0,0.0,69.85714285714286,0.8571428571428571,0.0,438581,1.951,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Australia,2023-03-09,11399460,19574,0,13926.0,115.0,0.0,2079.8571428571427,16.571428571428573,0.0,11379886,0.1717,0.0,0.1223,25499884.0,44703.97,76.76,Low,Oceania,2023,3,March,1,2023-03,20230309
Austria,2023-03-09,5961143,21970,0,5283.0,21.0,0.0,4999.285714285715,10.142857142857142,0.0,5939173,0.3686,0.0,0.0887,9006398.0,66187.87,243.94,Low,Europe,2023,3,March,1,2023-03,20230309
Azerbaijan,2023-03-09,828825,10138,0,6.0,0.0,0.0,28.142857142857142,2.2857142857142856,0.0,818687,1.2232,0.0,0.0007,,,,Low,Other,2023,3,March,1,2023-03,20230309
Bahamas,2023-03-09,37491,833,0,0.0,0.0,0.0,0.0,0.0,0.0,36658,2.2219,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Bahrain,2023-03-09,710693,1553,0,387.0,0.0,0.0,376.0,0.42857142857142855,0.0,709140,0.2185,0.0,0.0545,,,,Low,Asia,2023,3,March,1,2023-03,20230309
Bangladesh,2023-03-09,2037871,29445,0,0.0,0.0,0.0,6.0,0.0,0.0,2008426,1.4449,0.0,0.0,164689383.0,1237.4,17.88,Low,Asia,2023,3,March,1,2023-03,20230309
Barbados,2023-03-09,106798,579,0,153.0,4.0,0.0,21.857142857142858,0.5714285714285714,0.0,106219,0.5421,0.0,0.1435,,,,Low,Other,2023,3,March,1,2023-03,20230309
Belarus,2023-03-09,994037,7118,0,0.0,0.0,0.0,0.0,0.0,0.0,986919,0.7161,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Belgium,2023-03-09,4739365,33814,0,11570.0,39.0,0.0,1652.857142857143,5.571428571428571,0.0,4705551,0.7135,0.0,0.2447,11589623.0,40893.18,291.76,Low,Europe,2023,3,March,1,2023-03,20230309
Belize,2023-03-09,70757,688,0,0.0,0.0,0.0,0.0,0.0,0.0,70069,0.9723,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Benin,2023-03-09,27999,163,0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,27836,0.5822,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Bhutan,2023-03-09,62627,21,0,0.0,0.0,0.0,1.0,0.0,0.0,62606,0.0335,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Bolivia,2023-03-09,1194277,22365,0,90.0,0.0,0.0,122.71428571428571,0.0,0.0,1171912,1.8727,0.0,0.0075,,,,Low,South America,2023,3,March,1,2023-03,20230309
Bosnia and Herzegovina,2023-03-09,401729,16280,0,0.0,0.0,0.0,13.285714285714286,0.14285714285714285,0.0,385449,4.0525,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Botswana,2023-03-09,329758,2801,0,0.0,0.0,0.0,4.428571428571429,0.0,0.0,326957,0.8494,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Brazil,2023-03-09,37076053,699276,0,0.0,0.0,0.0,2535.0,11.285714285714286,0.0,36376777,1.8861,0.0,0.0,212559417.0,17442.68,328.98,Low,South America,2023,3,March,1,2023-03,20230309
Brunei,2023-03-09,279661,225,0,0.0,0.0,0.0,137.57142857142858,0.0,0.0,279436,0.0805,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Bulgaria,2023-03-09,1297523,38228,0,72.0,3.0,0.0,87.14285714285714,1.5714285714285714,0.0,1259295,2.9462,0.0,0.0055,,,,Low,Other,2023,3,March,1,2023-03,20230309
Burkina Faso,2023-03-09,22056,396,0,0.0,0.0,0.0,0.0,0.0,0.0,21660,1.7954,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
Burundi,2023-03-09,53631,38,0,0.0,0.0,0.0,0.0,0.0,0.0,53593,0.0709,0.0,0.0,,,,Low,Other,2023,3,March,1,2023-03,20230309
