Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,DayName,IsWeekend,YearMonth,YearQuarter,DateKey
2020-01-22,2020,1,1,January,4,3,Wednesday,0,2020-01,2020-Q1,20200122
2020-01-23,2020,1,1,January,4,4,Thursday,0,2020-01,2020-Q1,20200123
2020-01-24,2020,1,1,January,4,5,Friday,0,2020-01,2020-Q1,20200124
2020-01-25,2020,1,1,January,4,6,Saturday,1,2020-01,2020-Q1,20200125
2020-01-26,2020,1,1,January,4,7,Sunday,1,2020-01,2020-Q1,20200126
2020-01-27,2020,1,1,January,5,1,Monday,0,2020-01,2020-Q1,20200127
2020-01-28,2020,1,1,January,5,2,Tuesday,0,2020-01,2020-Q1,20200128
2020-01-29,2020,1,1,January,5,3,Wednesday,0,2020-01,2020-Q1,20200129
2020-01-30,2020,1,1,January,5,4,Thursday,0,2020-01,2020-Q1,20200130
2020-01-31,2020,1,1,January,5,5,Friday,0,2020-01,2020-Q1,20200131
2020-02-01,2020,1,2,February,5,6,Saturday,1,2020-02,2020-Q1,20200201
2020-02-02,2020,1,2,February,5,7,Sunday,1,2020-02,2020-Q1,20200202
2020-02-03,2020,1,2,February,6,1,Monday,0,2020-02,2020-Q1,20200203
2020-02-04,2020,1,2,February,6,2,Tuesday,0,2020-02,2020-Q1,20200204
2020-02-05,2020,1,2,February,6,3,Wednesday,0,2020-02,2020-Q1,20200205
2020-02-06,2020,1,2,February,6,4,Thursday,0,2020-02,2020-Q1,20200206
2020-02-07,2020,1,2,February,6,5,Friday,0,2020-02,2020-Q1,20200207
2020-02-08,2020,1,2,February,6,6,Saturday,1,2020-02,2020-Q1,20200208
2020-02-09,2020,1,2,February,6,7,Sunday,1,2020-02,2020-Q1,20200209
2020-02-10,2020,1,2,February,7,1,Monday,0,2020-02,2020-Q1,20200210
2020-02-11,2020,1,2,February,7,2,Tuesday,0,2020-02,2020-Q1,20200211
2020-02-12,2020,1,2,February,7,3,Wednesday,0,2020-02,2020-Q1,20200212
2020-02-13,2020,1,2,February,7,4,Thursday,0,2020-02,2020-Q1,20200213
2020-02-14,2020,1,2,February,7,5,Friday,0,2020-02,2020-Q1,20200214
2020-02-15,2020,1,2,February,7,6,Saturday,1,2020-02,2020-Q1,20200215
2020-02-16,2020,1,2,February,7,7,Sunday,1,2020-02,2020-Q1,20200216
2020-02-17,2020,1,2,February,8,1,Monday,0,2020-02,2020-Q1,20200217
2020-02-18,2020,1,2,February,8,2,Tuesday,0,2020-02,2020-Q1,20200218
2020-02-19,2020,1,2,February,8,3,Wednesday,0,2020-02,2020-Q1,20200219
2020-02-20,2020,1,2,February,8,4,Thursday,0,2020-02,2020-Q1,20200220
